X,Y,fid,VALUE,area,perimeter,subfid,subfull_id,subosm_id,subosm_type,subpower,subname,subentrance,subdoor,subaccess,subtourism,subbarrier,subaccess:delivery,n,distance,feature_x,feature_y,nearest_x,nearest_y,tx_distance,SITE_SCORE,MCDA_SCORE,auxiliary_storage_labeling_show
"-74.5353498516249","41.2272085268684","11","1","160000","3400","5",n2616806839,"2616806839",node,,,,,,,gate,,"1","36797.3035897907","538793.3438","4563384","530976.116668022","4527426.62924731","7.00916780361111","28.8022405482122","14.4011202741061",
"-74.3952074602482","41.221603575474","12","0","40000.0000000596","1000","5",n2616806839,"2616806839",node,,,,,,,gate,,"1","41008.5546833864","550693.3438","4563384","530976.116668022","4527426.62924731","7.00916780361111","20.6540445364781","10.327022268239",
"-74.5384054526888","41.216861831158","13","1","100000","2200","5",n2616806839,"2616806839",node,,,,,,,gate,,"1","35875.3591378762","538593.3438","4562484","530976.116668022","4527426.62924731","7.00916780361111","30.5860772131774","15.2930386065887",
"-74.5408479705607","41.2087645505763","14","1","100000","2200","5",n2616806839,"2616806839",node,,,,,,,gate,,"1","34953.4152131657","538393.3438","4561584","530976.116668022","4527426.62924731","7.00916780361111","32.3699128580746","16.1849564290373",
"-74.5593963967015","41.1998291987464","15","0","30000","800","5",n2616806839,"2616806839",node,,,,,,,gate,,"1","33976.5983378894","536893.3438","4560884","530976.116668022","4527426.62924731","7.00916780361111","34.2599201719166","17.1299600859583",
"-74.5432898774341","41.2006672033082","16","1","100000","2200","5",n2616806839,"2616806839",node,,,,,,,gate,,"1","34031.4718585067","538193.3438","4560684","530976.116668022","4527426.62924731","7.00916780361111","34.1537474","17.0768737",
"-74.5451224654743","41.1943689586831","17","1","50000","1200","5",n2616806839,"2616806839",node,,,,,,,gate,,"1","33521.6386931971","538093.3438","4560184","530976.116668022","4527426.62924731","7.00916780361111","35.1402049803953","17.5701024901977",
"-74.5463429565929","41.1903202348757","18","1","40000","1000","5",n2616806839,"2616806839",node,,,,,,,gate,,"1","33109.5291215188","537993.3438","4559784","530976.116668022","4527426.62924731","7.00916780361111","35.9375807468161","17.9687903734081",
"-74.4027103023955","41.1180521367009","19","0","30000","800","31",n11159973736,"11159973736",node,pole,,,,,,,,"1","30632.0974759077","550093.3438","4551884","544352.802782594","4521794.60677579","7.00916780361111","40.7310728007123","20.3655364003562",
"-74.411080240696","41.1144920330701","20","0","30000","800","31",n11159973736,"11159973736",node,pole,,,,,,,,"1","30114.2345705445","549393.3438","4551484","544352.802782594","4521794.60677579","7.00916780361111","41.7330668320164","20.8665334160082",
"-74.4158643693889","41.112264392385","21","0","40000","1000","31",n11159973736,"11159973736",node,pole,,,,,,,,"1","29753.5049199473","548993.3438","4551184","544352.802782594","4521794.60677579","7.00916780361111","42.4310294647315","21.2155147323657",
"-74.4123074289701","41.1104447129055","22","0","60000","1400","31",n11159973736,"11159973736",node,pole,,,,,,,,"1","29505.961155286","549293.3438","4550884","544352.802782594","4521794.60677579","7.00916780361111","42.9099928585339","21.454996429267",
"-74.4075637991375","41.1081684297612","23","0","30000","800","31",n11159973736,"11159973736",node,pole,,,,,,,,"1","29477.2165895346","549693.3438","4550784","544352.802782594","4521794.60677579","7.00916780361111","42.9656096695028","21.4828048347514",
"-74.4172624916618","41.1080891984948","24","0","70000","1600","31",n11159973736,"11159973736",node,pole,,,,,,,,"1","29145.2513275971","548893.3438","4550584","544352.802782594","4521794.60677579","7.00916780361111","43.6079171366275","21.8039585683137",
"-74.4135464841107","41.105046240317","25","0","60000","1400","31",n11159973736,"11159973736",node,pole,,,,,,,,"1","28897.6878594935","549193.3438","4550284","544352.802782594","4521794.60677579","7.00916780361111","44.0869186539011","22.0434593269506",
"-74.3373450879658","41.103282043059","26","0","30000","800","24",n10869700184,"10869700184",node,,,,,no,,gate,,"1","27585.5268785309","555693.3438","4550284","567264.026078173","4525242.42247813","7.00916780361111","46.6257710362946","23.3128855181473",
